region,child_mortality_percent,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,poverty_percent,welfare_expense_share,real_incomes,real_pay,living area,bad conditions,no funds,population,grp,reg_prod_total,retail,newborn_per_population,disabled_percent,all crimes,alco,drug
Удмуртская Республика,0.35986681938559517,99088.4,5.2574953720277815,428.4,2.1400661634962708,11.9,23.1,4.594109238628667,103.4,2.760009940032921,1.0647107369924282,0.8394960768950823,14.221612796395135,13.020312711478914,6.654072658833979,11.98346644981458,0.6775510431276718,1.2824164309057644,9.217216675915616,56.4,2.163323025660538
Ульяновская область,0.34756728905755463,87077.9,5.537727890326118,372.1,0.0,15.0,25.3,4.607168188650764,102.2,2.9391619220655967,0.6931471805599453,0.2651296679812693,14.022382440803586,12.794173705449444,6.275563256901833,12.015517283809116,0.6104493522431661,1.4491687095493848,8.661293535389994,102.6,3.0007198150650303
Хабаровский край,0.3521739642905629,67303.6,5.039546637590676,377.2,0.0,12.0,25.7,4.576770711466393,101.9,2.797281334830153,0.7884573603642703,0.4265740713183996,14.089836837553827,13.397325645047802,6.6384138319272035,12.535171335678802,0.7150457712000003,1.0982357225311967,9.075322160298095,128.5,2.9069010598473755
Ханты-Мансийский автономный округ - Югра,0.3104137316632576,90676.1,5.269403356383394,405.8,2.954910279033736,8.4,15.8,4.619073091157083,103.5,2.7013612129514133,1.33500106673234,1.9188031957170233,14.331130868825191,14.505969779196178,8.328662467311283,12.46117212368565,0.8021752255645335,0.9693147314488951,8.773539383558166,33.7,1.9740810260220096
Челябинская область,0.3364550516855271,88428.4,5.986954391630096,667.3,2.0794415416798357,12.6,24.3,4.623010104116422,101.7,2.833213344056216,0.5877866649021191,0.4219944100593749,15.0586184948585,13.055236549488889,6.900301404353022,12.063171781892168,0.6725743415793614,1.188333964501086,10.076978567945266,69.6,3.0726933146901194
Чеченская Республика,0.47069665728715965,52150.1,4.312140507209715,157.9,0.0,20.4,35.1,4.616110126026426,104.0,3.005682604407159,0.47000362924573563,0.4407678998105515,14.206692140476681,12.049597182153184,4.091415307847753,11.727681942907346,1.1106330419644594,2.341381468395378,6.803505257608338,4.1,0.47000362924573563
Чувашская Республика,0.19248464829613596,93394.5,6.191953407857386,515.7,1.4586150226995167,16.8,24.9,4.628886712605407,104.3,2.7212954278522306,0.7884573603642703,1.0566785652951642,14.012572111939978,12.567973460786096,6.031997453174197,11.860514254547704,0.6567237580869432,1.2126859598492385,8.545780648268149,79.0,0.7884573603642703
Чукотский автономный округ,0.9121854825930785,128506.5,5.545958389462633,957.0,4.722953221644475,8.0,6.4,4.665324108807838,110.5,2.714694743820879,1.0647107369924282,0.0,10.825541644299388,14.692757796180846,8.555782360196034,12.2880672930828,0.7265090278134595,1.1390396778204301,5.823045895483019,208.7,0.0
Ямало-Ненецкий автономный округ,0.30196202951325174,118256.9,5.560296941647445,693.9,2.509599262378372,4.8,12.6,4.680277658474897,108.0,2.803360380906535,0.9932517730102834,1.7932749869174298,13.207522206152278,15.439341314699183,9.214139856614905,12.48034647794599,0.8340446989053482,0.8716950924168014,7.754052639035757,94.7,2.990719731730447
Ярославская область,0.32058161056370743,89949.9,5.150976778649327,434.8,6.438391445023741,9.9,23.5,4.597138014290827,100.9,2.8213788864092133,0.4054651081081644,0.0,14.041362438441858,13.112521504669367,6.641426604590774,12.227868383300628,0.6121706010286354,1.1939479263986978,8.51959031601596,45.3,2.151762203259462
